resultId,participantId,group,timestamp,birthyear,gender,ethnicity,country,language,frameId,frameName,note,content,responseTime,response,errors
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,66137565ccb7fe5e,html,Title,text,3987,spacebar,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,07536e2417c665a9,html,Study_food words,text,15309,spacebar,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,5e93b46b38208d8f,html,,text,8521,spacebar,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,d16e5bc77d105799,html,,text,3021,B,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,6b244f07a96ae611,html,,text,3148,C,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,747f89d910347433,html,,text,16211,D,1
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,31b68ca7028bac27,html,,text,9566,spacebar,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,52fe34b6fb578ef1,html,new_related_burger,text,2102,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,2966261c3dfbe88c,html,old_bread,text,2721,A,1
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,a1eb0b88770783bf,html,new_related_tuna,text,3505,L,1
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,906625005ebaa33b,html,old_salad,text,1413,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,c6f7508ec29d1bd3,html,new_related_sandwich,text,1973,L,1
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,ad443099599705aa,html,new_unrelated_bird,text,1304,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,0da780335ef332e2,html,old_chicken,text,1089,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,94a1a2cc0e42ad5e,html,old_broccoli,text,1073,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,c632ae0c765783f5,html,old_apple,text,1222,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,ffd06c8a4c5aa96c,html,newunrelated_water,text,1097,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,a5d92147c5949709,html,newunrelated_pencil,text,1095,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,87e964de48420de3,html,old_pizza,text,1006,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,e6a0e4b89107c49f,html,old_icecream,text,1006,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,11252770e66a3d2f,html,newunrelated_red,text,964,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,b2df364dd9b49423,html,newrelated_cabbage,text,1897,L,1
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,1db23cf0697df142,html,newunrelated_book,text,2427,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,a9f3aaca0da45a55,html,newunrelated_pillow,text,1111,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,d1dfb68c4734bfdb,html,old_cookie,text,1289,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,4616a09b297c110c,html,newrelated_cake,text,1504,L,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,7b17c87073a1d491,html,old_taco,text,1896,A,1
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,7a25dd494af3130b,html,newrelated_tomato,text,1910,L,1
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,cb3e60997ab45330,html,old_pie,text,1208,A,0
61896d79462434326cfd3c8d,61896cf6462434326cfd3c8a,none,2021-11-08T18:33:29.000Z,2002,male,na,other,na,b14fe92049e84b72,html,old_rice,text,984,A,0
